单词,词性,次数,条数,词频,TF-IDF
动画,名词,147,1,0.049729364,-0.01497003
漫画,名词,81,1,0.027401894,-0.008248792
作品,名词,67,1,0.022665765,-0.006823075
推荐,动词,57,1,0.019282815,-0.005804706
部,名词,51,1,0.017253045,-0.005193684
游戏,名词,48,1,0.01623816,-0.004888173
日本,地名,46,1,0.01556157,-0.004684499
目录,名词,43,1,0.014546685,-0.004378988
个人,名词,42,1,0.01420839,-0.004277152
共,副词,40,1,0.0135318,-0.004073478
裏,zg,39,1,0.013193505,-0.003971641
小说,名词,34,1,0.01150203,-0.003462456
轻,形容词,28,1,0.00947226,-0.002851434
百合,名词,27,1,0.009133965,-0.002749597
排行榜,名词,26,1,0.00879567,-0.00264776
汉化,其它专名,25,1,0.008457375,-0.002545924
销量,名词,21,1,0.007104195,-0.002138576
有,动词,19,1,0.006427605,-0.001934902
列表,名词,18,1,0.00608931,-0.001833065
真,副词,17,1,0.005751015,-0.001731228
名作,名词,17,1,0.005751015,-0.001731228
女性,名词,17,1,0.005751015,-0.001731228
评分,名词,16,1,0.00541272,-0.001629391
葉,zg,16,1,0.00541272,-0.001629391
世界,名词,15,1,0.005074425,-0.001527554
黄油,名词,15,1,0.005074425,-0.001527554
原,名词,15,1,0.005074425,-0.001527554
自用,动词,15,1,0.005074425,-0.001527554
网站,名词,14,1,0.00473613,-0.001425717
店,名词,14,1,0.00473613,-0.001425717
实用,动词,13,1,0.004397835,-0.00132388
批评,动词,13,1,0.004397835,-0.00132388
厉害,形容词,13,1,0.004397835,-0.00132388
已,副词,12,1,0.00405954,-0.001222043
计划,名词,11,1,0.003721245,-0.001120206
空间,名词,11,1,0.003721245,-0.001120206
补完,动词,11,1,0.003721245,-0.001120206
同人,名词,11,1,0.003721245,-0.001120206
收录,动词,11,1,0.003721245,-0.001120206
大,形容词,11,1,0.003721245,-0.001120206
综合,名动词,10,1,0.00338295,-0.001018369
动画短片,名词,10,1,0.00338295,-0.001018369
收集,动词,10,1,0.00338295,-0.001018369
看,动词,10,1,0.00338295,-0.001018369
排名,动词,9,1,0.003044655,-0.000916533
历年,名词,9,1,0.003044655,-0.000916533
选,zg,9,1,0.003044655,-0.000916533
冷门,名词,9,1,0.003044655,-0.000916533
少女,名词,9,1,0.003044655,-0.000916533
收藏,动词,8,1,0.00270636,-0.000814696
作画,名词,8,1,0.00270636,-0.000814696
一般,形容词,8,1,0.00270636,-0.000814696
佳作,名词,8,1,0.00270636,-0.000814696
妹,名词,8,1,0.00270636,-0.000814696
组,zg,8,1,0.00270636,-0.000814696
坑,名词,8,1,0.00270636,-0.000814696
经典,名词,8,1,0.00270636,-0.000814696
不,副词,8,1,0.00270636,-0.000814696
世纪,名词,8,1,0.00270636,-0.000814696
完结,动词,8,1,0.00270636,-0.000814696
全,形容词,8,1,0.00270636,-0.000814696
剧场版,名词,8,1,0.00270636,-0.000814696
制作,名动词,8,1,0.00270636,-0.000814696
音乐,名词,8,1,0.00270636,-0.000814696
相关,动词,8,1,0.00270636,-0.000814696
是,动词,7,1,0.002368065,-0.000712859
剧情,名词,7,1,0.002368065,-0.000712859
记录,名词,7,1,0.002368065,-0.000712859
独立,动词,7,1,0.002368065,-0.000712859
美少女,名词,7,1,0.002368065,-0.000712859
国产,名词,7,1,0.002368065,-0.000712859
合集,动词,7,1,0.002368065,-0.000712859
史,nrf,7,1,0.002368065,-0.000712859
最,副词,7,1,0.002368065,-0.000712859
适合,动词,7,1,0.002368065,-0.000712859
动画电影,名词,7,1,0.002368065,-0.000712859
含有,动词,7,1,0.002368065,-0.000712859
资源,名词,7,1,0.002368065,-0.000712859
动漫,名词,7,1,0.002368065,-0.000712859
纯爱,形容词,6,1,0.00202977,-0.000611022
补,动词,6,1,0.00202977,-0.000611022
持续,副动词,6,1,0.00202977,-0.000611022
施工,名动词,6,1,0.00202977,-0.000611022
人,名词,6,1,0.00202977,-0.000611022
萌,动词,6,1,0.00202977,-0.000611022
選,zg,6,1,0.00202977,-0.000611022
值得,动词,5,1,0.001691475,-0.000509185
露点,名词,5,1,0.001691475,-0.000509185
男,名词,5,1,0.001691475,-0.000509185
要素,名词,5,1,0.001691475,-0.000509185
整理,名词,5,1,0.001691475,-0.000509185
人气,名词,5,1,0.001691475,-0.000509185
参与,动词,5,1,0.001691475,-0.000509185
媒体,名词,5,1,0.001691475,-0.000509185
部门,名词,5,1,0.001691475,-0.000509185
获奖作品,名词,5,1,0.001691475,-0.000509185
群友,名词,5,1,0.001691475,-0.000509185
版,名词,5,1,0.001691475,-0.000509185
画,名词,5,1,0.001691475,-0.000509185
完,动词,5,1,0.001691475,-0.000509185
艺术,名词,5,1,0.001691475,-0.000509185
系,动词,5,1,0.001691475,-0.000509185
榜,名词,5,1,0.001691475,-0.000509185
作,动词,5,1,0.001691475,-0.000509185
回,动词,5,1,0.001691475,-0.000509185
更新,动词,5,1,0.001691475,-0.000509185
奥斯卡,其它专名,5,1,0.001691475,-0.000509185
元素,名词,5,1,0.001691475,-0.000509185
不错,形容词,5,1,0.001691475,-0.000509185
观看,动词,4,1,0.00135318,-0.000407348
看过,动词,4,1,0.00135318,-0.000407348
中文,其它专名,4,1,0.00135318,-0.000407348
精品,名词,4,1,0.00135318,-0.000407348
脚本,名词,4,1,0.00135318,-0.000407348
排行,动词,4,1,0.00135318,-0.000407348
本子,名词,4,1,0.00135318,-0.000407348
后宫,名词,4,1,0.00135318,-0.000407348
文化厅,名词,4,1,0.00135318,-0.000407348
校园,名词,4,1,0.00135318,-0.000407348
推理,动词,4,1,0.00135318,-0.000407348
评选,动词,4,1,0.00135318,-0.000407348
赏,动词,4,1,0.00135318,-0.000407348
受赏,动词,4,1,0.00135318,-0.000407348
小,形容词,4,1,0.00135318,-0.000407348
没有,动词,4,1,0.00135318,-0.000407348
角色,名词,4,1,0.00135318,-0.000407348
超级,形容词,4,1,0.00135318,-0.000407348
广为人知,习用语,4,1,0.00135318,-0.000407348
漫,形容词,4,1,0.00135318,-0.000407348
统计,动词,4,1,0.00135318,-0.000407348
转生,动词,4,1,0.00135318,-0.000407348
中国,地名,4,1,0.00135318,-0.000407348
英雄,名词,4,1,0.00135318,-0.000407348
步兵,名词,3,1,0.001014885,-0.000305511
大全,副形词,3,1,0.001014885,-0.000305511
撸,名词,3,1,0.001014885,-0.000305511
标签,名词,3,1,0.001014885,-0.000305511
年鉴,名词,3,1,0.001014885,-0.000305511
绅士,名词,3,1,0.001014885,-0.000305511
战斗,名动词,3,1,0.001014885,-0.000305511
优秀,形容词,3,1,0.001014885,-0.000305511
高分,名词,3,1,0.001014885,-0.000305511
物,zg,3,1,0.001014885,-0.000305511
提及,动词,3,1,0.001014885,-0.000305511
语音,名词,3,1,0.001014885,-0.000305511
成人,名词,3,1,0.001014885,-0.000305511
狂,zg,3,1,0.001014885,-0.000305511
票选,名词,3,1,0.001014885,-0.000305511
新房,名词,3,1,0.001014885,-0.000305511
作家,名词,3,1,0.001014885,-0.000305511
拿来,动词,3,1,0.001014885,-0.000305511
汇总,名词,3,1,0.001014885,-0.000305511
祭,动词,3,1,0.001014885,-0.000305511
演出,动词,3,1,0.001014885,-0.000305511
引进,动词,3,1,0.001014885,-0.000305511
光,名词,3,1,0.001014885,-0.000305511
反,zg,3,1,0.001014885,-0.000305511
手塚治虫,人名,3,1,0.001014885,-0.000305511
文化,名词,3,1,0.001014885,-0.000305511
魔法,名词,3,1,0.001014885,-0.000305511
化,名词,3,1,0.001014885,-0.000305511
作品集,名词,3,1,0.001014885,-0.000305511
致,动词,3,1,0.001014885,-0.000305511
读者,名词,3,1,0.001014885,-0.000305511
异,zg,3,1,0.001014885,-0.000305511
好看,动词,3,1,0.001014885,-0.000305511
門,zg,3,1,0.001014885,-0.000305511
文学,名词,3,1,0.001014885,-0.000305511
战士,名词,3,1,0.001014885,-0.000305511
高达,动词,3,1,0.001014885,-0.000305511
机器人,名词,3,1,0.001014885,-0.000305511
日美,地名,3,1,0.001014885,-0.000305511
口碑,名词,3,1,0.001014885,-0.000305511
剧场,名词,3,1,0.001014885,-0.000305511
部分,名词,3,1,0.001014885,-0.000305511
田中,品牌,3,1,0.001014885,-0.000305511
泡面,名词,3,1,0.001014885,-0.000305511
三观,其它专名,3,1,0.001014885,-0.000305511
姉,zg,3,1,0.001014885,-0.000305511
待,动词,3,1,0.001014885,-0.000305511
迪士尼,品牌,3,1,0.001014885,-0.000305511
长片,名词,3,1,0.001014885,-0.000305511
还,副词,3,1,0.001014885,-0.000305511
人生,名词,3,1,0.001014885,-0.000305511
美国,地名,3,1,0.001014885,-0.000305511
編,zg,3,1,0.001014885,-0.000305511
京都,地名,3,1,0.001014885,-0.000305511
补充,动词,3,1,0.001014885,-0.000305511
完整,形容词,3,1,0.001014885,-0.000305511
获奖,动词,3,1,0.001014885,-0.000305511
佳,形容词,3,1,0.001014885,-0.000305511
平成,动词,3,1,0.001014885,-0.000305511
选集,动词,3,1,0.001014885,-0.000305511
夏新,品牌,3,1,0.001014885,-0.000305511
猎奇,动词,3,1,0.001014885,-0.000305511
名家,名词,3,1,0.001014885,-0.000305511
待补,动词,3,1,0.001014885,-0.000305511
参上,动词,3,1,0.001014885,-0.000305511
文明,名词,2,1,0.00067659,-0.000203674
健康,形容词,2,1,0.00067659,-0.000203674
食肉,名词,2,1,0.00067659,-0.000203674
筛选,动词,2,1,0.00067659,-0.000203674
介绍,动词,2,1,0.00067659,-0.000203674
警告,名词,2,1,0.00067659,-0.000203674
口味,名词,2,1,0.00067659,-0.000203674
男孩子,名词,2,1,0.00067659,-0.000203674
知道,动词,2,1,0.00067659,-0.000203674
都,副词,2,1,0.00067659,-0.000203674
妹子,名词,2,1,0.00067659,-0.000203674
簿,名词性语素,2,1,0.00067659,-0.000203674
神,名词,2,1,0.00067659,-0.000203674
扭曲,动词,2,1,0.00067659,-0.000203674
就,副词,2,1,0.00067659,-0.000203674
截止,动词,2,1,0.00067659,-0.000203674
到,动词,2,1,0.00067659,-0.000203674
個,zg,2,1,0.00067659,-0.000203674
还剩864条未导出，加入我们获取所有数据,,,,,
